file_type,file_path,preview_detected,status,screenshot
PNG,D:\test_automation_ui\sample.png,False,FAIL,D:\test_automation_ui\results\preview_error.png
PNG,D:\test_automation_ui\sample.png,True,PASS,D:\test_automation_ui\results\preview_pass.png
